feature,importance
xg_diff_prev15,5075
pass_success_rate_drop,4809
opp_xg_prev15,4750
pressure_per_pass_prev15,4450
time_remaining,4420
player_involvement_share_prev15,4419
action_rate_drop,4166
FW_passes_prev15,3960
DF_passes_prev15,3866
MF_passes_prev15,3608
xg_per_shot_prev15,3593
passes_prev15,3357
team_xg_prev15,3167
MF_pressures_prev15,3083
DF_pressures_prev15,3014
pressures_prev15,2927
player_actions_prev15,2768
FW_pressures_prev15,2610
FW_xg_prev15,2572
MF_xg_prev15,2501
pressure_activity_drop,2493
GK_passes_prev15,2451
player_passes_prev15,2011
player_pressures_prev15,1568
competition_enc,1565
score_diff,1542
DF_xg_prev15,1372
abs_score_diff,976
passes_per_min_prev15,852
sub_sequence,779
pressures_per_min_prev15,707
shots_prev15,687
position_group_enc,567
FW_shots_prev15,567
MF_shots_prev15,418
is_home,385
DF_shots_prev15,266
game_phase_enc,194
shots_per_min_prev15,161
is_leading,102
is_trailing,83
very_late_sub,57
late_sub,44
GK_pressures_prev15,38
GK_shots_prev15,0
GK_xg_prev15,0
