match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895292,Bundesliga 2023/2024,Bayer Leverkusen,31,0,0,59,1,31-60,Left Attacking Midfield,MF,0.1191,0.0488,0.0703,1,139,17,0.0724,0.1439,-0.0715,-0.1418,Negative,1,1
3895292,Bundesliga 2023/2024,Union Berlin,45,0,1,45,1,31-60,Center Forward,FW,0.1927,0.0724,0.1203,3,72,13,0.0253,1.2999,-1.2746,-1.3949,Negative,1,0
3895292,Bundesliga 2023/2024,Union Berlin,61,-1,1,29,2,61-75,Center Defensive Midfield,MF,0.0253,1.2999,-1.2746,1,39,32,0.047,0.0,0.047,1.3216,Positive,2,1
3895292,Bundesliga 2023/2024,Union Berlin,62,-1,1,28,3,61-75,Right Back,DF,0.0253,1.2999,-1.2746,1,36,32,0.047,0.1693,-0.1223,1.1523,Positive,2,2
3895292,Bundesliga 2023/2024,Union Berlin,62,-1,1,28,4,61-75,Left Center Midfield,MF,0.0253,1.2999,-1.2746,1,36,32,0.047,0.1693,-0.1223,1.1523,Positive,2,1
3895292,Bundesliga 2023/2024,Bayer Leverkusen,66,1,0,24,2,61-75,Center Forward,FW,1.055,0.0575,0.9975,4,92,19,0.1693,0.0934,0.0759,-0.9216,Negative,2,0
3895292,Bundesliga 2023/2024,Union Berlin,77,-1,1,13,5,76-90+,Center Attacking Midfield,MF,0.047,0.1693,-0.1223,2,68,25,0.0785,0.1564,-0.0779,0.0444,Neutral,3,1
3895292,Bundesliga 2023/2024,Bayer Leverkusen,78,1,0,12,3,76-90+,Right Wing Back,FW,0.1693,0.047,0.1223,1,80,29,0.1564,0.0785,0.0779,-0.0444,Neutral,3,0
3895320,Bundesliga 2023/2024,Bayer Leverkusen,45,0,1,45,1,31-60,Center Back,DF,0.0118,0.0,0.0118,1,63,24,0.063,0.5148,-0.4518,-0.4636,Negative,1,2
3895320,Bundesliga 2023/2024,Bayer Leverkusen,73,-1,1,17,2,61-75,Right Attacking Midfield,MF,0.4104,0.9004,-0.49,5,58,24,0.0,0.4295,-0.4295,0.0605,Neutral,2,1
3895320,Bundesliga 2023/2024,Bayer Leverkusen,73,-1,1,17,3,61-75,Center Forward,FW,0.4104,0.9004,-0.49,5,58,24,0.0,0.4295,-0.4295,0.0605,Neutral,2,0
3895320,Bundesliga 2023/2024,VfB Stuttgart,73,1,0,17,1,61-75,Right Center Forward,FW,0.9004,0.4104,0.49,3,58,21,0.4295,0.0,0.4295,-0.0605,Neutral,2,0
3895320,Bundesliga 2023/2024,VfB Stuttgart,73,1,0,17,2,61-75,Left Defensive Midfield,MF,0.9004,0.4104,0.49,3,58,21,0.4295,0.0,0.4295,-0.0605,Neutral,2,1
3895320,Bundesliga 2023/2024,VfB Stuttgart,80,1,0,10,3,76-90+,Left Attacking Midfield,MF,0.6958,0.1002,0.5956,2,73,24,0.4295,0.0,0.4295,-0.1661,Negative,3,1
3895320,Bundesliga 2023/2024,VfB Stuttgart,80,1,0,10,4,76-90+,Right Back,DF,0.6958,0.1002,0.5956,2,73,24,0.4295,0.0,0.4295,-0.1661,Negative,3,2
