match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc,competition_enc,abs_score_diff,is_trailing,is_leading,late_sub,very_late_sub,xg_per_shot_prev15,pressure_per_pass_prev15,passes_per_min_prev15,pressures_per_min_prev15,shots_per_min_prev15,outgoing_player,replacement_player,player_passes_prev15,pass_success_rate_drop,player_pressures_prev15,pressure_activity_drop,player_actions_prev15,action_rate_drop,player_involvement_share_prev15,FW_passes_prev15,FW_pressures_prev15,FW_shots_prev15,FW_xg_prev15,MF_passes_prev15,MF_pressures_prev15,MF_shots_prev15,MF_xg_prev15,DF_passes_prev15,DF_pressures_prev15,DF_shots_prev15,DF_xg_prev15,GK_passes_prev15,GK_pressures_prev15,GK_shots_prev15,GK_xg_prev15,FW_passes_next15,FW_pressures_next15,FW_shots_next15,FW_xg_next15,MF_passes_next15,MF_pressures_next15,MF_shots_next15,MF_xg_next15,DF_passes_next15,DF_pressures_next15,DF_shots_next15,DF_xg_next15,GK_passes_next15,GK_pressures_next15,GK_shots_next15,GK_xg_next15
3895292,Bundesliga 2023/2024,Bayer Leverkusen,31,0,0,59,1,31-60,Left Attacking Midfield,MF,0.1191,0.0488,0.0703,1,139,17,0.0724,0.1439,-0.0715,-0.1418,Negative,1,1,0,0,0,0,0,0,0.1191,0.1223021582733813,9.266666666666667,1.1333333333333333,0.06666666666666667,Adam Hložek,Amine Adli,8,0.125,0,0.2,26,-0.8,0.059496567505720827,24,5,1,0.1191,54,7,0,0.0,53,5,0,0.0,8,0,0,0.0,26,7,0,0.0,44,6,1,0.0246,40,4,1,0.0478,8,0,0,0.0
3895292,Bundesliga 2023/2024,Union Berlin,45,0,1,45,1,31-60,Center Forward,FW,0.1927,0.0724,0.1203,3,72,13,0.0253,1.2999,-1.2746,-1.3949,Negative,1,0,0,0,0,0,0,0,0.06423333333333334,0.18055555555555555,4.8,0.8666666666666667,0.2,Yorbe Vertessen,Mikkel Kaufmann,2,1.0,2,0.0,22,-0.06666666666666665,0.0830188679245283,17,4,2,0.1439,24,7,1,0.0488,22,2,0,0.0,9,0,0,0.0,3,7,0,0.0,17,14,1,0.0253,17,11,0,0.0,7,0,0,0.0
3895292,Bundesliga 2023/2024,Union Berlin,61,-1,1,29,2,61-75,Center Defensive Midfield,MF,0.0253,1.2999,-1.2746,1,39,32,0.047,0.0,0.047,1.3216,Positive,2,1,0,1,1,0,1,0,0.0253,0.8205128205128205,2.6,2.1333333333333333,0.06666666666666667,Rani Khedira,Aïssa Bilal Laïdouni,7,0.2857142857142857,2,-0.13333333333333333,23,-1.1333333333333333,0.11734693877551021,2,6,0,0.0,15,15,1,0.0253,16,11,0,0.0,6,0,0,0.0,2,2,0,0.0,29,16,2,0.047,26,6,0,0.0,8,0,0,0.0
3895292,Bundesliga 2023/2024,Union Berlin,62,-1,1,28,3,61-75,Right Back,DF,0.0253,1.2999,-1.2746,1,36,32,0.047,0.1693,-0.1223,1.1523,Positive,2,2,0,1,1,0,1,0,0.0253,0.8888888888888888,2.4,2.1333333333333333,0.06666666666666667,Christopher Trimmel,Josip Juranović,8,0.75,4,-0.13333333333333333,22,-0.46666666666666656,0.11518324607329843,1,5,0,0.0,14,15,1,0.0253,16,12,0,0.0,5,0,0,0.0,2,2,0,0.0,31,17,2,0.047,27,6,0,0.0,8,0,0,0.0
3895292,Bundesliga 2023/2024,Union Berlin,62,-1,1,28,4,61-75,Left Center Midfield,MF,0.0253,1.2999,-1.2746,1,36,32,0.047,0.1693,-0.1223,1.1523,Positive,2,1,0,1,1,0,1,0,0.0253,0.8888888888888888,2.4,2.1333333333333333,0.06666666666666667,András Schäfer,Alex Král,2,-0.36363636363636365,5,-0.26666666666666666,17,1.2000000000000002,0.08900523560209424,1,5,0,0.0,14,15,1,0.0253,16,12,0,0.0,5,0,0,0.0,2,2,0,0.0,31,17,2,0.047,27,6,0,0.0,8,0,0,0.0
3895292,Bundesliga 2023/2024,Bayer Leverkusen,66,1,0,24,2,61-75,Center Forward,FW,1.055,0.0575,0.9975,4,92,19,0.1693,0.0934,0.0759,-0.9216,Negative,2,0,0,1,0,1,1,0,0.26375,0.20652173913043478,6.133333333333334,1.2666666666666666,0.26666666666666666,Borja Iglesias Quintas,Victor Okoh Boniface,3,-0.5,2,-0.06666666666666667,11,-0.06666666666666665,0.03503184713375796,24,4,1,0.0497,41,7,2,0.9382,26,8,1,0.067,1,0,0,0.0,18,12,1,0.1693,37,17,0,0.0,30,3,0,0.0,3,0,0,0.0
3895292,Bundesliga 2023/2024,Union Berlin,77,-1,1,13,5,76-90+,Center Attacking Midfield,MF,0.047,0.1693,-0.1223,2,68,25,0.0785,0.1564,-0.0779,0.0444,Neutral,3,1,0,1,1,0,1,1,0.0235,0.36764705882352944,4.533333333333333,1.6666666666666667,0.13333333333333333,Brenden Aaronson,Benedict Hollerbach,10,-0.30000000000000004,4,-0.06666666666666665,35,-0.9333333333333336,0.14112903225806453,2,2,0,0.0,31,17,2,0.047,27,6,0,0.0,8,0,0,0.0,6,8,0,0.0,21,11,0,0.0,36,5,1,0.0785,7,0,0,0.0
3895292,Bundesliga 2023/2024,Bayer Leverkusen,78,1,0,12,3,76-90+,Right Wing Back,FW,0.1693,0.047,0.1223,1,80,29,0.1564,0.0785,0.0779,-0.0444,Neutral,3,0,0,1,0,1,1,1,0.1693,0.3625,5.333333333333333,1.9333333333333333,0.06666666666666667,Nathan Tella,Jeremie Frimpong,3,-0.19999999999999996,1,0.06666666666666667,15,0.5333333333333334,0.05,17,10,1,0.1693,33,16,0,0.0,27,3,0,0.0,3,0,0,0.0,21,8,2,0.1564,40,10,0,0.0,33,7,0,0.0,2,0,0,0.0
3895320,Bundesliga 2023/2024,Bayer Leverkusen,45,0,1,45,1,31-60,Center Back,DF,0.0118,0.0,0.0118,1,63,24,0.063,0.5148,-0.4518,-0.4636,Negative,1,2,0,0,0,0,0,0,0.0118,0.38095238095238093,4.2,1.6,0.06666666666666667,Jonathan Tah,Piero Martín Hincapié Reyna,5,0.0,4,-0.26666666666666666,14,-0.2666666666666667,0.06572769953051644,10,3,0,0.0,28,13,1,0.0118,22,8,0,0.0,3,0,0,0.0,20,5,0,0.0,45,13,1,0.063,34,9,0,0.0,6,0,0,0.0
3895320,Bundesliga 2023/2024,Bayer Leverkusen,73,-1,1,17,2,61-75,Right Attacking Midfield,MF,0.4104,0.9004,-0.49,5,58,24,0.0,0.4295,-0.4295,0.0605,Neutral,2,1,0,1,1,0,1,0,0.08208,0.41379310344827586,3.8666666666666667,1.6,0.3333333333333333,Jonas Hofmann,Florian Wirtz,2,-0.1428571428571429,2,-0.06666666666666667,13,2.0666666666666664,0.058823529411764705,17,10,1,0.0655,17,8,3,0.3102,21,6,1,0.0347,3,0,0,0.0,17,7,0,0.0,36,18,0,0.0,30,3,0,0.0,6,0,0,0.0
